Match No,Innings No,Date,Versus,Ground,Batting Runs,Batting Aggr,Batting Avg,Bowling Wkts,Bowling Aggr,Bowling Avg,Fielding Catches,Fielding Agg,Keeping Catches,Keeping Stumps,Keeping Agg,AgeYr,AgeDays,Age,
1,1,39678.00,Sri Lanka,Rangiri Dambulla International Stadium,12.00,12,12,,0,,,0,,,,19,287,7222,
2,2,39680.00,Sri Lanka,Rangiri Dambulla International Stadium,37.00,49,24.5,,0,,3,3,,,,19,289,7224,
3,3,39684.00,Sri Lanka,R Premadasa Stadium,25.00,74,24.67,,0,,,3,,,,19,293,7228,
4,4,39687.00,Sri Lanka,R Premadasa Stadium,54.00,128,32,,0,,,3,,,,19,296,7231,
5,5,39689.00,Sri Lanka,R Premadasa Stadium,31.00,159,31.8,,0,,,3,,,,19,298,7233,
6,6,40070.00,Sri Lanka,R Premadasa Stadium,50,161,32.2,,0,,,3,,,,20,313,7613,
7,7,40082.00,Pakistan,SuperSport Park,16.00,177,29.5,0/21,0,,1,4,,,,20,325,7625,
8,,40084.00,Australia,SuperSport Park,50,177,29.5,,0,,,4,,,,20,327,7627,
9,8,40086.00,West Indies,Wanderers Stadium,79,256,42.67,,0,,,4,,,,20,329,7629,
10,9,40111.00,Australia,Reliance Stadium,30.00,286,40.86,,0,,1,5,,,,20,354,7654,
11,10,40119.00,Australia,Punjab Cricket Association IS Bindra Stadium,10.00,296,37,,0,,,5,,,,20,362,7662,
12,11,40162.00,Sri Lanka,Madhavrao Scindia Cricket Ground,27.00,323,35.89,,0,,,5,,,,21,40,7705,
13,12,40165.00,Sri Lanka,Vidarbha Cricket Association Stadium,54.00,377,37.7,,0,,1,6,,,,21,43,7708,
14,13,40171.00,Sri Lanka,Eden Gardens,107.00,484,44,,0,,1,7,,,,21,49,7714,
15,,40174.00,Sri Lanka,Arun Jaitley Stadium,50,484,44,,0,,,7,,,,21,52,7717,
16,14,40183.00,Sri Lanka,Shere Bangla National Stadium,9.00,493,41.08,,0,,,7,,,,21,61,7726,
17,15,40185.00,Bangladesh,Shere Bangla National Stadium,91.00,584,44.92,,0,,1,8,,,,21,63,7728,
18,16,40188.00,Sri Lanka,Shere Bangla National Stadium,71,655,50.38,,0,,1,9,,,,21,66,7731,
19,17,40189.00,Bangladesh,Shere Bangla National Stadium,102,757,58.23,,0,,1,10,,,,21,67,7732,
20,18,40191.00,Sri Lanka,Shere Bangla National Stadium,2.00,759,54.21,0/12,0,,1,11,,,,21,69,7734,
21,19,40230.00,South Africa,Sawai Mansingh Stadium,31.00,790,52.67,,0,,1,12,,,,21,108,7773,
22,,40233.00,South Africa,Captain Roop Singh Stadium,50,790,52.67,,0,,,12,,,,21,111,7776,
23,20,40236.00,South Africa,Narendra Modi Stadium,57.00,847,52.94,0/11,0,,,12,,,,21,114,7779,
24,21,40326.00,Zimbabwe,Queens Sports Club,0.00,847,49.82,,0,,,12,,,,21,204,7869,
25,22,40328.00,Sri Lanka,Queens Sports Club,82.00,929,51.61,,0,,,12,,,,21,206,7871,
26,23,40332.00,Zimbabwe,Harare Sports Club,18.00,947,49.84,,0,,1,13,,,,21,210,7875,
27,24,40334.00,Sri Lanka,Harare Sports Club,68.00,1015,50.75,,0,,1,14,,,,21,212,7877,
28,25,40345.00,Bangladesh,Rangiri Dambulla International Stadium,11.00,1026,48.86,,0,,,14,,,,21,223,7888,
29,26,40348.00,Pakistan,Rangiri Dambulla International Stadium,18.00,1044,47.45,,0,,1,15,,,,21,226,7891,
30,27,40351.00,Sri Lanka,Rangiri Dambulla International Stadium,10.00,1054,45.83,,0,,,15,,,,21,229,7894,
31,28,40353.00,Sri Lanka,Rangiri Dambulla International Stadium,28.00,1082,45.08,0/16,0,,,15,,,,21,231,7896,
